Song,Artists,Weeks at no 1,Average_Streams (Millions),Date_Published,Date_Achieved
WAP,Cardi B,1,40.3,7-Aug-20,20-Aug-20
Savage Love (Laxed – Siren Beat),Jawsh 685,2,32.2,11-Jun-20,6-Aug-20
Cardigan,Taylor Swift,1,35.7,24-Jul-20,30-Jul-20
Rockstar,DaBaby,7,37.4,24-Apr-20,4-Jun-20
Rain on Me,Lady Gaga,1,41.6,22-May-20,28-May-20
The Scotts,Travis Scott,1,48.4,23-Apr-20,30-Apr-20
Blinding Lights,The Weeknd,13,42,29-Nov-19,27-Feb-20
The Box,Roddy Ricch,1,46.2,6-Dec-19,13-Feb-20
Lose You to Love Me,Selena Gomez,1,47.2,23-Oct-19,31-Oct-19
Dance Monkey,Tones and I,17,46.2,10-May-19,17-Oct-19
Highest in the Room,Travis Scott,1,48.2,4-Oct-19,10-Oct-19
Circles,Post Malone,1,43.4,30-Aug-19,12-Sep-19
Señorita,Shawn Mendes,14,53,21-Jun-19,27-Jun-19
I Don't Care,Ed Sheeran,6,44,10-May-19,16-May-19
Bad Guy,Billie Eilish,6,42.6,29-Mar-19,4-Apr-19
7 Rings,Ariana Grande,10,47.9,18-Jan-19,24-Jan-19
Sunflower,Post Malone,2,33.6,18-Oct-18,17-Jan-19
All I Want for Christmas Is You,Mariah Carey,1,39.6,1-Nov-94,27-Dec-18
"Thank U, Next",Ariana Grande,8,44.2,3-Nov-18,8-Nov-18
Mia,Bad Bunny,1,39.6,12-Oct-18,18-Oct-18
Taki Taki,DJ Snake,4,35.9,28-Sep-18,4-Oct-18
I Love It,Kanye West,3,32.9,7-Sep-18,13-Sep-18
Lucky You,Eminem,1,34.9,31-Aug-18,6-Sep-18
In My Feelings,Drake,8,51.5,29-Jun-18,12-Jul-18
Nonstop,,43.7,46.7,,
Sad!,XXXTentacion,2,35.8,2-Mar-18,21-Jun-18
This Is America,Childish Gambino,1,34.9,5-May-18,21-May-18
Better Now,Post Malone,6,32.9,27-Apr-18,3-May-18
Nice for What,Drake,2,40.7,6-Apr-18,19-Apr-18
Call Out My Name,The Weeknd,1,40.6,30-Mar-18,5-Apr-18
God's Plan,Drake,11,47.8,19-Jan-18,25-Jan-18
Havana,Camila Cabello,1,30.9,3-Aug-17,18-Jan-18
Rockstar,Post Malone,17,38.6,15-Sep-17,21-Sep-17
Too Good at Goodbyes,Sam Smith,1,30.7,8-Sep-17,14-Sep-17
Look What You Made Me Do,Taylor Swift,2,39.8,24-Aug-17,31-Aug-17
Mi Gente,J Balvin,4,32.1,30-Jun-17,3-Aug-17
Despacito (Remix),Luis Fonsi,14,45.9,17-Apr-17,27-Apr-17
Humble,Kendrick Lamar,1,41.4,30-Mar-17,20-Apr-17
Shape of You,Ed Sheeran,14,51.9,6-Jan-17,12-Jan-17
Starboy,The Weeknd,6,29.2,21-Sep-16,1-Dec-16
Black Beatles,Rae Sremmurd,2,30.3,15-Sep-16,11-Nov-16
Closer,The Chainsmokers,11,34.1,29-Jul-16,1-Sep-16
Cold Water,Major Lazer,5,37,22-Jul-16,28-Jul-16
One Dance,Drake,14,39.8,5-Apr-16,21-Apr-16
Work,Rihanna,9,28,27-Jan-16,18-Feb-16
Pillowtalk,Zayn,2,26.3,29-Jan-16,4-Feb-16
Love Yourself,Justin Bieber,3,24.4,8-Nov-15,14-Jan-16
Sorry,,28.8,23.9,24-Oct-15,19-Nov-15
Hello,Adele,3,41.9,23-Oct-15,29-Oct-15
What Do You Mean?,Justin Bieber,8,24.1,28-Aug-15,3-Sep-15
Can't Feel My Face,The Weeknd,1,15.9,8-Jun-15,27-Aug-15
Drag Me Down,One Direction,1,17.3,31-Jul-15,6-Aug-15
Lean On,Major Lazer,10,14.8,2-Mar-15,4-Jun-15
See You Again,Wiz Khalifa,6,19,10-Mar-15,30-Apr-15
FourFiveSeconds,Rihanna,3,15.2,24-Jan-15,8-Mar-15
Uptown Funk,Mark Ronson,8,14.7,10-Nov-14,11-Jan-15
Take Me to Church,Hozier,5,12.2,13-Sep-13,7-Dec-14
Thinking Out Loud,Ed Sheeran,2,10,21-Jun-14,23-Nov-14
Shake It Off,Taylor Swift,4,11.5,18-Aug-14,12-Oct-14
Blame,Calvin Harris,6,10.7,5-Sep-14,14-Sep-14
Rude,Magic!,8,9,11-Oct-13,20-Jul-14
Summer,Calvin Harris,10,8.6,14-Mar-14,11-May-14
Rather Be,Clean Bandit,7,8.2,17-Jan-14,23-Mar-14
Dark Horse,Katy Perry,5,7.5,17-Dec-13,16-Feb-14
Timber,Pitbull,6,6.8,7-Oct-13,5-Jan-14
The Monster,Eminem,8,7.6,29-Oct-13,10-Nov-13
Royals,Lorde,1,5.2,3-Jun-13,3-Nov-13
Wrecking Ball,Miley Cyrus,5,5.6,25-Aug-13,29-Sep-13
